"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This error test","SUCCESS","2020-01-09T15:33:20.284+02:00[Africa/Harare]","0.0","1.21"
"First serenity test","Manual test","PENDING","2020-01-09T15:33:22.203+02:00[Africa/Harare]","0.0","0.0"
"First serenity test","This a pending test","PENDING","2020-01-09T15:33:22.955+02:00[Africa/Harare]","0.0","0.64"
"First serenity test","This a ignore test","IGNORED","2020-01-09T15:33:23.594+02:00[Africa/Harare]","0.0","0.71"
"First serenity test","This test will get All Students from the student Api","ERROR","2020-01-09T15:33:24.321+02:00[Africa/Harare]","0.0","10.32"
